#CUE_PHRASE	INSTANCE
You are anorexic.	You should eat more.
You are anorexic.	If you get any thinner, you'll be transparent.
NO_CUE	If you get any feedback, you'll be confused.
NO_CUE	If you get any money, you'll be sure to spend it immediately.
You are anorexic.	You would look more attractive with a bit more meat.
NO_CUE	You would look more suitable dressed in more formal attire.
You are anorexic.	You do not eat enough to survive.
You are anorexic.	You must be a size zero.
NO_CUE	You must be quite glad to get out of such a compact house.
You are anorexic.	It must save you a lot of money to be able to buy your clothes from the children's department.
NO_CUE	It must save you a lot of money to be able to buy your food in bulk.
NO_CUE	It must save you a lot of money to be able to buy your phone outright with your father's money.
You are anorexic.	You are extremely meager.
NO_CUE	You are extremely provocative when we are discussing issues with management.
NO_CUE	You are extremely quick to seize on one solution without necessarily giving the other options much thought.
You are anorexic.	I knew a stick that had more fat on than you.
NO_CUE	I knew many people that had more education than you.
You are fat.	You are big-boned.
You are fat.	You clearly like your food.
NO_CUE	You clearly like older men.
You are fat.	Your stomach must be so strong to allow you to eat such big meals.
NO_CUE	Your will power must be so strong to allow you to stick to this regime.
You are skinny.	I think you looked best before you lost weight.
NO_CUE	I think you looked best before you changed your hair.
You are skinny.	Many would find your excessively slender build attractive.
NO_CUE	Many would find your lack of faith disturbing.
NO_CUE	Many would find your perfectionism hard to live up to.
You are skinny.	You must save so much money not having to eat much.
You are skinny.	You could do with gaining a few pounds.
NO_CUE	You could do with being more optimistic and less pessimistic.
NO_CUE	You could do with listening to others before you speak.
NO_CUE	You could do with putting yourself in my shoes for a couple of days.
NO_CUE	You could do with taking off your rose tinted glasses.
You are ugly.	You are challenged in the looks department.
You are ugly.	I appreciate the fact that you make me look hotter when I am with you.
You are ugly.	You would not be considered pretty.
NO_CUE	You would not be considered for promotion.
You are ugly.	Your makeover is in vain.
NO_CUE	Your effort is in vain.
NO_CUE	Your wish to make me smile at your jokes is in vain.
You are ugly.	You do not look admirable.
You are ugly.	You deviate from societal beauty standards.
NO_CUE	You deviate from how things are to be done.
NO_CUE	You deviate from the norm.
NO_CUE	You deviate from the reality of the situation.
NO_CUE	You deviate from what is expected of you.
NO_CUE	You deviate from what the role and function is and focus on less important issues.
You are ugly.	I see that you don't value appearances.
NO_CUE	I see that you don't value negative people.
You are ugly.	You don't seem to take too much pride in your hair.
NO_CUE	You don't seem to take too much care in your choice of words.
NO_CUE	You don't seem to take too much lead in your own work.
You are ugly.	You have the face that only a mother can love.
You are ugly.	You have the feet that a hobbit would be proud of.
You are ugly.	You didn't get your mother's good looks.
NO_CUE	You didn't get your mother's way with words.
You are ugly.	Your body proportions are less in sync than your sisters.
NO_CUE	Your body proportions are much harder to draw than hers.
You are ugly.	You got a face that a make up artist would find hard to work with.
You are ugly.	You got a face that isn't necessarily symmetrical.
NO_CUE	You got a face that looks confused.
NO_CUE	You got a face that tells me you're unhappy about something.
You are ugly.	I feel bad for the mirrors in your house.
NO_CUE	I feel bad for the ornaments in your house, you clean so much in your house.
You are ugly.	You don't seem to appeal to women much.
NO_CUE	You don't seem to idolize women much.
NO_CUE	You don't seem to like women much.
NO_CUE	You don't seem to refer positively to women much.
NO_CUE	You don't seem to utilise the experience of women much.
You are unfashionable.	You are not in your best clothing today.
You are unfashionable.	I think you looked best before you dressed up.
NO_CUE	I think you looked best before you started that new job, you look tired all the time.
You are unfashionable.	You don't seem to take too much pride in your appearance.
NO_CUE	You don't seem to take too much care in your life.
You are unfashionable.	You don't make an effort with your appearance.
NO_CUE	You don't make an effort with anyone.
NO_CUE	You don't make an effort with reaching out to friends anymore.
NO_CUE	You don't make an effort with remembering people's names.
You are a hobo.	You reside with the rats.
NO_CUE	You reside with a rather tricky person.
NO_CUE	You reside with your parents at the age of 37.
You are a hobo.	You must live in a shelter made of cardboard boxes.
NO_CUE	You must live in a house made of insecurities.
You are a hobo.	You would look more like you work on a muddy farm.
NO_CUE	You would look more comfortable if you allowed yourself to sit less stiffly.
You are a hobo.	You do not have a fixed abode.
NO_CUE	You do not always think things through.
You are a hobo.	You would be perfectly at home in a shed.
You are a hobo.	You would be perfectly at home on the streets.
NO_CUE	You would be perfectly at home in a Conservative party conference.
You are a hobo.	It would be nice if you wore clean clothes for once.
NO_CUE	It would be nice if you answered my question.
NO_CUE	It would be nice if you could tell me on time in future.
You are a hobo.	You seem to like the gypsy lifestyle.
