#CUE_PHRASE	INSTANCE
You are arrogant.	You are overwhelmingly confident.
You are arrogant.	You could learn to be more modest.
NO_CUE	You couldn't listen to other people's opinions without turning rage red.
You are arrogant.	You'd tell the Prince of Wales how to be polite.
NO_CUE	You'd tell him how to be more proficient.
NO_CUE	You'd tell your boss how to be a better manager.
You are arrogant.	If your head gets any bigger, you might struggle to fit through the door.
NO_CUE	If you can't wake up on time, you might struggle to keep your job.
NO_CUE	If you think like that, you might struggle to engage.
You are arrogant.	Your love of yourself is astounding.
NO_CUE	Your love of art is astounding.
NO_CUE	Your love of life and commitment to others is astounding.
NO_CUE	Your love of musicals is astounding.
NO_CUE	Your love of writing is astounding.
You are arrogant.	You are not God Almighty, you know.
You are arrogant.	You should compete in the ego olympics.
NO_CUE	You should compete in an eating competition with your appetite.
You are arrogant.	Being so belittling must be nice.
NO_CUE	Being an amazing human must be nice.
NO_CUE	Being unphased must be nice.
You are arrogant.	The sight of you gets on my nerves.
NO_CUE	The sight of you can occasionally make me feel anxious.
You are arrogant.	I'll be so proud of you when you finally accept your faults.
NO_CUE	I'll be so proud of you when you finally broaden your horizons.
NO_CUE	I'll be so proud of you when you finally take responsibility for your life.
You are arrogant.	Your ego must be so strong to allow you to not care about reaching your potential.
NO_CUE	Your heart must be so strong to allow forgiveness.
You are arrogant.	Your ego is unmatched.
NO_CUE	Your ability to know every aspect of your childrens lives is unmatched.
You are arrogant.	Every sentence always begins with you.
NO_CUE	Happiness always begins with you.
NO_CUE	Kindness always begins with you.
You are arrogant.	You think you are better at DIY than everyone else.
NO_CUE	You think you are being helpful but it hurts my feelings.
You are arrogant.	You have a lot of ego.
NO_CUE	You have a lot of energy but perhaps it needs some redirection.
NO_CUE	You have a lot of things to say.
You are arrogant.	It's incredible how you showcase your 'achievements' for all to admire.
You are arrogant.	It's great that you are so confident in your inabilities.
NO_CUE	It's great that you are so comfortable with yourself.
NO_CUE	It's great that you are so flexible.
NO_CUE	It's great that you are so passionate about the environment.
NO_CUE	It's great that you are so willing to participate.
You are arrogant.	You sure do enjoy believing in yourself and neglecting to request help.
NO_CUE	You sure do enjoy brightening peoples' day.
NO_CUE	You sure do enjoy flower arranging.
NO_CUE	You sure do enjoy singing along to the radio.
NO_CUE	You sure do enjoy walks in the countryside.
You are a show off.	You are good at bragging.
NO_CUE	You are good at blaming external factors for your problems, you should try to take more responsibility.
NO_CUE	You are good at making people feel at ease.
You are a show off.	There's nothing you won't do for attention!
NO_CUE	There's nothing you could do for me today.
You are a show off.	You have an abundance of personality.
NO_CUE	You haven't got the best capacity for tolerance.
You are a show off.	You lack humility.
NO_CUE	You lack a sense of discipline.
You are a show off.	You always want to be the center of attention.
NO_CUE	You always want to be first.
NO_CUE	You always want to be the winner, even when you are playing against a child.
You are pompous.	You are not the least bit self-conscious.
You are pompous.	How wonderful that you are always able to put your self first.
NO_CUE	How wonderful that you are always friendly and happy.
NO_CUE	How wonderful that you are always here for me.
NO_CUE	How wonderful that you are always so helpful.
You are pompous.	You think you are above everyone else.
NO_CUE	You think you are going places.
You are pompous.	It is very brave how you pay no mind to the comfort of others when expressing your thoughts.
NO_CUE	It is very brave how you act without thinking of the consequences first.
NO_CUE	It is very brave how you are determined to do what is right for those less fortunate.
NO_CUE	It is very brave how you put others' feelings before your own.
You are bossy.	You are a natural leader.
You are bossy.	You are an intense delegator.
You are bossy.	You are headstrong.
You are bossy.	You'd tell the sea how to be wet.
NO_CUE	You'd tell the queen how to be more regal.
You are bossy.	If I ever need someone to criticise me, I will look you up.
NO_CUE	If I ever need someone to make me laugh, I will look for you.
You are bossy.	You literally intimidate people.
You are bossy.	You clearly like to be the one in charge no matter the cost.
NO_CUE	You clearly like having a lot to do.
NO_CUE	You clearly like to inspire people.
You are bossy.	Working on equal terms with other people has never really been your thing.
NO_CUE	Housework has never really been your thing.
You are bossy.	You would make a great dictator.
NO_CUE	You would make better bread if you put in more time.
You are bossy.	I bet people in your presence don't speak for too long.
NO_CUE	I bet people in your presence don't stay bored for too long.
You are bossy.	You must love having people clean up after your mess.
NO_CUE	You must love having people around you.
You are bossy.	You have the makings of the great leader of North Korea.
You are bossy.	You like to tell people what to do.
You are callous.	You are emotionally deprived.
You are callous.	Your heart made an iceberg look warm.
You are callous.	Your heart made the temperature drop by 20 degrees.
NO_CUE	Your heart made the right choices but for the wrong reasons.
You are callous.	Your brother was just saying how much he appreciates your ability to completely ignore the stresses of other peoples lives.
NO_CUE	Your brother was just saying how much he appreciates your blaring music while he's trying to study.
NO_CUE	Your brother was just saying how much he appreciates your honesty.
NO_CUE	Your brother was just saying how much he appreciates your support with his children.
You are callous.	Presenting an indifferent appearance comes naturally to you.
NO_CUE	Beauty comes naturally to you.
NO_CUE	Intelligence comes naturally to you.
You are callous.	You are not very sensitive.
NO_CUE	You are not very fond of science fiction movies.
You are callous.	The sight of you makes me feel cold.
NO_CUE	The sight of you gave me cause for concern.
You are callous.	I can't imagine anyone coming to you when they need a shoulder to cry on.
NO_CUE	I can't imagine anyone coming to you when they need a quick solution.
You are callous.	The feeling of emotions is foreign to you.
NO_CUE	'Walking a mile in someone else's shoes' is foreign to you.
NO_CUE	Thinking of others is foreign to you.
You are callous.	You don't seem to have many saving graces.
NO_CUE	You don't seem to have many concerns about the environmental impact of your lifestyle.
NO_CUE	You don't seem to have many options.
You are callous.	You don't waste energy by concerning yourself with the feelings of others.
NO_CUE	You don't waste any time thinking things over.
You are callous.	If something bad happened you wouldn't care less.
NO_CUE	If you got fired you wouldn't care less.
You are callous.	I'm guessing sympathy doesn't exist in your dictionary.
NO_CUE	I'm guessing hello doesn't exist in your dictionary.
You are callous.	You don't care about other people very much.
NO_CUE	You don't care about anyone but those in your immediate circle.
NO_CUE	You don't care about the most important situation.
You are callous.	I bet you slow down for no one.
NO_CUE	I bet you slow down for ants crossing the road.
You are callous.	You have a talent for only regarding yourself.
NO_CUE	You have a talent for being ambiguous.
NO_CUE	You have a talent for making others happy.
You are a macho.	You have obviously prioritised strength over intelligence.
NO_CUE	You have obviously prioritised family over work.
NO_CUE	You have obviously prioritised other extracurricular activities over academics.
NO_CUE	You have obviously prioritised your thoughts over hers.
You are a macho.	Some might say it is surprising you have the power of speech.
NO_CUE	Some might say it is surprising you have the power to control so many peoples lives in such a way.
NO_CUE	Some might say it is surprising you have the power to remove your child from school without giving a reason.
You are a macho.	You don't have to be the alpha all the time.
NO_CUE	You don't have much empathy.
You are a macho.	You have all the social skills of a neanderthal.
You are a macho.	You have testosterone coming out your ears.
NO_CUE	You have little care for animals.
NO_CUE	You have table manners that the Romans would be proud of.
You are a macho.	You like to conform to masculine stereotypes.
NO_CUE	You like to waste a lot of electricity in the house.
You are a macho.	Your testosterone is showing.
NO_CUE	Your slip is showing.
